country,Defense Budget,Active Personnel,Reserve Personnel,Paramilitary,Aircraft Carriers,Tanks,Self-Propelled Artillery,Armored Vehicles,Helicopters,Fighters/Interceptors,Destroyers,Navy Ships,Submarines,Total Aircraft Strength
Morocco,5438823613,200000,100000,25000,0,3335,517,3500,64,249,0,121,0,249
Mozambique,140200000,11000,0,0,0,90,0,317,8,18,0,8,0,18
Myanmar,2285700000,400000,0,50000,0,664,190,1587,80,280,0,155,1,280
Namibia,363800000,12500,0,5000,0,5,0,489,7,30,0,8,0,30
Nepal,437580000,95000,0,10000,0,0,0,277,9,14,0,0,0,14
Netherlands,14260000000,35000,5000,5000,0,18,57,2806,70,156,0,61,4,156
New Zealand,3700000000,9600,2500,0,0,0,0,500,22,47,0,9,0,47
Nicaragua,88340000,12000,0,0,0,195,0,300,11,17,0,25,0,17
Niger,287280000,10000,0,3000,0,0,0,182,7,16,0,0,0,16
Nigeria,5875755689,135000,0,80000,0,376,44,2019,52,140,0,133,0,140
North Korea,4500000000,1200000,600000,200000,0,5895,450,4114,204,946,0,450,35,946
North Macedonia,192639000,7500,3000,4000,0,10,0,228,10,20,0,0,0,20
Norway,8300000000,23000,0,40000,0,36,80,700,49,161,0,48,6,161
Oman,8396300000,40000,0,6000,0,117,0,932,31,128,0,22,0,128
Pakistan,7690148664,640000,500000,500000,0,2824,689,9950,307,1387,2,114,9,1387
Panama,741160000,0,0,27000,0,0,0,50,22,39,0,20,0,39
Paraguay,353000000,14000,50000,10000,0,8,6,75,15,41,0,40,0,41
Peru,1830000000,95000,100000,50000,0,146,24,552,89,243,0,63,6,243
Philippines,4390000000,130000,100000,50000,0,18,12,600,103,182,0,93,0,182
Poland,14500000000,120000,0,32500,0,863,609,4786,207,452,0,86,1,452
Portugal,3360000000,30500,100000,25000,0,37,24,725,22,97,0,107,2,97
Qatar,5856000000,14000,0,5000,0,134,46,3100,66,165,0,86,0,165
Republic of the Congo,348160000,12000,0,2000,0,53,3,181,8,13,0,6,0,13
Romania,5148090000,67000,50000,15000,0,451,0,1392,62,147,0,45,0,147
Russia,154000000000,850000,250000,250000,1,12420,6574,30122,1543,4173,15,605,70,4173
Saudi Arabia,46000000000,225000,0,125000,0,1062,705,6202,258,897,0,57,0,897
Serbia,1059200000,25000,50000,5000,0,323,93,1133,51,117,0,16,0,117
Sierra Leone,19325000,9000,0,0,0,0,0,20,4,4,0,10,0,4
Singapore,11560000000,60000,200000,10000,0,170,48,3517,79,244,0,40,5,244
Slovakia,2092000000,13000,0,0,0,20,16,454,24,50,0,0,0,50
Slovenia,581680000,7000,2000,5000,0,44,8,380,12,37,0,2,0,37
Somalia,63934000,17500,0,0,0,0,0,65,0,0,0,3,0,0
South Africa,2910671379,72000,15000,180000,0,195,43,2565,91,225,0,47,3,225
South Korea,46320000000,555000,500000,75000,0,2624,3040,13990,739,1595,12,234,22,1595
South Sudan,276000000,175000,0,0,0,55,12,150,16,18,0,0,0,18
Spain,11750000000,120000,15000,80000,1,327,96,5033,119,503,0,139,2,503
Sri Lanka,1860000000,250000,5500,11000,2022,182,0,600,56,86,0,275,0,86
Sudan,287210000,100000,50000,55000,0,360,10,207,72,192,0,18,0,192
Suriname,41888000,1800,0,0,0,0,0,100,3,3,0,18,0,3
Sweden,8600000000,16000,0,22000,0,121,48,3371,53,204,0,316,5,204
Switzerland,5984000000,24000,120000,0,0,134,133,1339,42,158,0,0,0,158
Syria,2020500000,100000,0,50000,0,3540,552,5372,154,452,0,43,0,452
Taiwan,16800000000,170000,1500000,11500,0,1110,257,3472,208,741,4,117,4,741
Tajikistan,90134000,9500,0,5500,0,47,0,100,20,25,0,0,0,25
Tanzania,748920000,26000,40000,1000,0,42,0,89,9,37,0,19,0,37
Thailand,2933064054,350000,100000,6000,0,637,44,2836,177,469,0,292,0,469
Tunisia,1177200000,36000,0,10000,0,145,0,954,102,151,0,40,0,151
Turkey,9690000000,425000,200000,150000,0,3022,956,13270,474,1057,0,156,12,1057
Turkmenistan,407070000,30000,0,5000,0,680,73,2050,26,82,0,30,0,82
Uganda,934250000,47000,10000,1500,0,237,6,1056,25,49,0,8,0,49
Ukraine,11870000000,200000,250000,50000,0,2596,1067,12303,112,318,0,38,0,318
United Arab Emirates,25266000000,65000,0,12000,0,354,183,9255,223,554,0,79,0,554
United Kingdom,68000000000,194000,37000,0,2,227,89,5015,235,693,6,75,10,693
United States,770000000000,1390000,442000,0,11,6612,1498,45193,5463,13247,92,484,68,13247
Uruguay,1072600000,22000,0,1500,0,79,6,474,11,50,0,18,0,50
Uzbekistan,692520000,55000,0,10000,0,420,137,1215,96,200,0,0,0,200
Venezuela,1929600000,137500,30000,1600000,0,300,60,2534,78,256,0,46,2,256
Vietnam,6237600000,470000,0,40000,0,2044,50,4420,99,218,0,109,6,218
Yemen,1010070000,45000,0,375000,0,200,10,300,61,177,0,35,0,177
Zambia,251160000,16500,0,1000,0,75,0,226,27,97,0,0,0,97
Zimbabwe,117390000,30000,0,10000,0,50,0,318,28,90,0,0,0,90
